L,J,V0,T,λ
49,3,2.481628922836826,0.001725210549942041,1.4845283719699929
49,3,3.2008340465997662,0.001725210549942041,1.914762079220543
49,3,4.128473237715361,0.001725210549942041,2.469682553224443
49,3,5.324953129837532,0.001725210549942041,3.185425479171855
49,3,6.868186906464688,0.001725210549942041,4.108599086999791
49,3,8.858667904100825,0.001725210549942041,5.299319217501867
49,3,11.42601360502879,0.001725210549942041,6.835123986139855
49,3,14.737406155824797,0.001725210549942041,8.816022962271735
49,3,19.00847904698388,0.001725210549942041,11.37100965965014
49,3,24.51735887979288,0.001725210549942041,14.666461422933752
49,3,31.622776601683793,0.001725210549942041,18.916973699679588
49,3,0.251188643150958,0.0026366508987303583,0.13083587112321196
49,3,0.32398605356263077,0.0026366508987303583,0.16875363877085686
49,3,0.41788100602942213,0.0026366508987303583,0.21766041953117304
49,3,0.5389878153085522,0.0026366508987303583,0.2807409580946349
49,3,0.6951927961775606,0.0026366508987303583,0.3621029754590075
49,3,0.8966678097917787,0.0026366508987303583,0.4670446582720132
49,3,1.1565326417902508,0.0026366508987303583,0.6023996697180303
49,3,1.4917093453337442,0.0026366508987303583,0.7769821486001062
49,3,1.9240241827602391,0.0026366508987303583,1.0021606743672626
49,3,2.481628922836826,0.0026366508987303583,1.2925985739283055
49,3,3.2008340465997662,0.0026366508987303583,1.6672087780498792
49,3,4.128473237715361,0.0026366508987303583,2.1503854063208534
49,3,5.324953129837532,0.0026366508987303583,2.773592279862235
49,3,6.868186906464688,0.0026366508987303583,3.5774118036232543
49,3,8.858667904100825,0.0026366508987303583,4.614187638760897
49,3,11.42601360502879,0.0026366508987303583,5.951433252422948
49,3,14.737406155824797,0.0026366508987303583,7.676228305175157
49,3,19.00847904698388,0.0026366508987303583,9.900889162989907
49,3,24.51735887979288,0.0026366508987303583,12.770282790015878
49,3,31.622776601683793,0.0026366508987303583,16.47126029312384
49,3,0.251188643150958,0.0040296113202004,0.12291760657043735
49,3,0.32398605356263077,0.0040296113202004,0.15854056842126876
49,3,0.41788100602942213,0.0040296113202004,0.20448748179078316
49,3,0.5389878153085522,0.0040296113202004,0.2637503487310966
49,3,0.6951927961775606,0.0040296113202004,0.3401882885278435
49,3,0.8966678097917787,0.0040296113202004,0.4387788384291104
49,3,1.1565326417902508,0.0040296113202004,0.5659420842685521
49,3,1.4917093453337442,0.0040296113202004,0.7299587279389247
49,3,1.9240241827602391,0.0040296113202004,0.9415093157153682
49,3,2.481628922836826,0.0040296113202004,1.2143697412615748
49,3,3.2008340465997662,0.0040296113202004,1.5663083135520763
49,3,4.128473237715361,0.0040296113202004,2.020242805583786
49,3,5.324953129837532,0.0040296113202004,2.605732829354198
49,3,6.868186906464688,0.0040296113202004,3.36090471858515
49,3,8.858667904100825,0.0040296113202004,4.334934265001912
49,3,11.42601360502879,0.0040296113202004,5.59124898066092
49,3,14.737406155824797,0.0040296113202004,7.211658413401103
49,3,19.00847904698388,0.0040296113202004,9.301681476082505
49,3,24.51735887979288,0.0040296113202004,11.99741769822569
49,3,31.622776601683793,0.0040296113202004,15.474409846844106
49,3,0.251188643150958,0.00615848211066026,0.10183521166033006
49,3,0.32398605356263077,0.00615848211066026,0.13134824857395094
49,3,0.41788100602942213,0.00615848211066026,0.16941450920718318
49,3,0.5389878153085522,0.00615848211066026,0.21851281795928584
49,3,0.6951927961775606,0.00615848211066026,0.2818403915695044
49,3,0.8966678097917787,0.00615848211066026,0.3635210376301683
49,3,1.1565326417902508,0.00615848211066026,0.4688736914670565
49,3,1.4917093453337442,0.00615848211066026,0.604758778152486
49,3,1.9240241827602391,0.00615848211066026,0.7800249542859765
49,3,2.481628922836826,0.00615848211066026,1.0060853207746672
49,3,3.2008340465997662,0.00615848211066026,1.297660628825426
49,3,4.128473237715361,0.00615848211066026,1.6737378757370316
49,3,5.324953129837532,0.00615848211066026,2.158806712978866
49,3,6.868186906464688,0.00615848211066026,2.7844541798102016
49,3,8.858667904100825,0.00615848211066026,3.5914216093779596
49,3,11.42601360502879,0.00615848211066026,4.632257650289708
49,3,14.737406155824797,0.00615848211066026,5.9747401649075975
49,3,19.00847904698388,0.00615848211066026,7.706289833841041
49,3,24.51735887979288,0.00615848211066026,9.939662874708509
49,3,31.622776601683793,0.00615848211066026,12.820293577462715
49,3,0.251188643150958,0.00941204967268067,0.06687230354247313
49,3,0.32398605356263077,0.00941204967268067,0.08625268023900147
49,3,0.41788100602942213,0.00941204967268067,0.11124971706240547
49,3,0.5389878153085522,0.00941204967268067,0.14349118789318366
49,3,0.6951927961775606,0.00941204967268067,0.18507661454498062
49,3,0.8966678097917787,0.00941204967268067,0.23871398484016937
49,3,1.1565326417902508,0.00941204967268067,0.3078960931848211
49,3,1.4917093453337442,0.00941204967268067,0.3971279867073948
49,3,1.9240241827602391,0.00941204967268067,0.5122203279520003
49,3,2.481628922836826,0.00941204967268067,0.6606677775156897
49,3,3.2008340465997662,0.00941204967268067,0.8521370364052069
49,3,4.128473237715361,0.00941204967268067,1.0990963287841051
49,3,5.324953129837532,0.00941204967268067,1.4176273161917436
49,3,6.868186906464688,0.00941204967268067,1.8284723140111205
49,3,8.858667904100825,0.00941204967268067,2.3583850035328955
49,3,11.42601360502879,0.00941204967268067,3.041872596193448
49,3,14.737406155824797,0.00941204967268067,3.923442897411379
49,3,19.00847904698388,0.00941204967268067,5.060502595838794
49,3,24.51735887979288,0.00941204967268067,6.527095510778896
49,3,31.622776601683793,0.00941204967268067,8.418724227483253
49,3,0.251188643150958,0.01438449888287663,0.05517717491399822
49,3,0.32398605356263077,0.01438449888287663,0.07116816637437669
49,3,0.41788100602942213,0.01438449888287663,0.09179353442769317
49,3,0.5389878153085522,0.01438449888287663,0.11839637568295996
49,3,0.6951927961775606,0.01438449888287663,0.1527090318752516
49,3,0.8966678097917787,0.01438449888287663,0.1969658976616199
49,3,1.1565326417902508,0.01438449888287663,0.25404892143733704
49,3,1.4917093453337442,0.01438449888287663,0.32767527399262447
49,3,1.9240241827602391,0.01438449888287663,0.42263940574384756
49,3,2.481628922836826,0.01438449888287663,0.5451252549850093
49,3,3.2008340465997662,0.01438449888287663,0.703108937746745
49,3,4.128473237715361,0.01438449888287663,0.9068781418922698
49,3,5.324953129837532,0.01438449888287663,1.1697020477048858
49,3,6.868186906464688,0.01438449888287663,1.5086953993070629
49,3,8.858667904100825,0.01438449888287663,1.9459329940957533
49,3,11.42601360502879,0.01438449888287663,2.5098871642676492
49,3,14.737406155824797,0.01438449888287663,3.237281857324594
49,3,19.00847904698388,0.01438449888287663,4.175484050822219
49,3,24.51735887979288,0.01438449888287663,5.385588227118221
49,3,31.622776601683793,0.01438449888287663,6.946394765024399
49,3,0.251188643150958,0.021983926488622893,0.045495306228821406
49,3,0.32398605356263077,0.021983926488622893,0.05868037876155476
49,3,0.41788100602942213,0.021983926488622893,0.07568663972236592
49,3,0.5389878153085522,0.021983926488622893,0.09762151426698563
49,3,0.6951927961775606,0.021983926488622893,0.12591337233013816
49,3,0.8966678097917787,0.021983926488622893,0.1624045421810228
49,3,1.1565326417902508,0.021983926488622893,0.20947128039643897
49,3,1.4917093453337442,0.021983926488622893,0.2701785105370704
49,3,1.9240241827602391,0.021983926488622893,0.3484794069042737
49,3,2.481628922836826,0.021983926488622893,0.44947282000687433
49,3,3.2008340465997662,0.021983926488622893,0.5797353069429113
49,3,4.128473237715361,0.021983926488622893,0.747749388074346
49,3,5.324953129837532,0.021983926488622893,0.9644559175013622
49,3,6.868186906464688,0.021983926488622893,1.2439665369688178
49,3,8.858667904100825,0.021983926488622893,1.6044826072582004
49,3,11.42601360502879,0.021983926488622893,2.0694804566584666
49,3,14.737406155824797,0.021983926488622893,2.669240128323889
49,3,19.00847904698388,0.021983926488622893,3.4428171765191933
49,3,24.51735887979288,0.021983926488622893,4.440585912507798
49,3,31.622776601683793,0.021983926488622893,5.727519712882072
49,3,0.251188643150958,0.033598182862837826,0.037346419043365976
49,3,0.32398605356263077,0.033598182862837826,0.0481698486395534
49,3,0.41788100602942213,0.033598182862837826,0.062130034884017964
49,3,0.5389878153085522,0.033598182862837826,0.0801360465874422
49,3,0.6951927961775606,0.033598182862837826,0.10336041134779107
49,3,0.8966678097917787,0.033598182862837826,0.13331546899218658
49,3,1.1565326417902508,0.033598182862837826,0.1719518531403998
49,3,1.4917093453337442,0.033598182862837826,0.2217855138787418
