L,T,V0,λ,J
29.0,0.0014384498882876629,0.5657591401470917,0.3770682080499907,1.0
29.0,0.0014384498882876629,0.5657591401470917,2.871510069101245,2.0
29.0,0.0014384498882876629,0.5657591401470917,0.688658702478357,3.0
29.0,0.0014384498882876629,0.6785454573393577,0.8183194508415398,0.0
29.0,0.0014384498882876629,0.6785454573393577,0.4522382433148013,1.0
29.0,0.0014384498882876629,0.6785454573393577,3.443956932956127,2.0
29.0,0.0014384498882876629,0.6785454573393577,0.8259455324087489,3.0
29.0,0.0014384498882876629,0.8138161719423083,0.9814546626265745,0.0
29.0,0.0014384498882876629,0.8138161719423083,0.5423937217463394,1.0
29.0,0.0014384498882876629,0.8138161719423083,4.1305233381155855,2.0
29.0,0.0014384498882876629,0.8138161719423083,0.9906010336483209,3.0
29.0,0.0014384498882876629,0.9760536373079002,1.177111522646634,0.0
29.0,0.0014384498882876629,0.9760536373079002,0.650522050575585,1.0
29.0,0.0014384498882876629,0.9760536373079002,4.953959465478267,2.0
29.0,0.0014384498882876629,0.9760536373079002,1.1880812588250589,3.0
29.0,0.0014384498882876629,1.1706337816171068,1.4117733498146015,0.0
29.0,0.0014384498882876629,1.1706337816171068,0.78020618845395,1.0
29.0,0.0014384498882876629,1.1706337816171068,5.941550834281948,2.0
29.0,0.0014384498882876629,1.1706337816171068,1.4249299461890668,3.0
29.0,0.0014384498882876629,1.404004245548316,1.6932159382531722,0.0
29.0,0.0014384498882876629,1.404004245548316,0.9357433709791124,1.0
29.0,0.0014384498882876629,1.404004245548316,7.126022439698822,2.0
29.0,0.0014384498882876629,1.404004245548316,1.708995354033573,3.0
29.0,0.0014384498882876629,1.6838980323928916,2.030765217328316,0.0
29.0,0.0014384498882876629,1.6838980323928916,1.1222875046229313,1.0
29.0,0.0014384498882876629,1.6838980323928916,8.546623133828337,2.0
29.0,0.0014384498882876629,1.6838980323928916,2.049690321913411,3.0
29.0,0.0014384498882876629,2.0195897501643794,2.4356062772271656,0.0
29.0,0.0014384498882876629,2.0195897501643794,1.346019947450824,1.0
29.0,0.0014384498882876629,2.0195897501643794,10.250426182320139,2.0
29.0,0.0014384498882876629,2.0195897501643794,2.458304176093725,3.0
29.0,0.0014384498882876629,2.42220293658337,2.9211540000043845,0.0
29.0,0.0014384498882876629,2.42220293658337,1.614354335651495,1.0
29.0,0.0014384498882876629,2.42220293658337,12.293889092092124,2.0
29.0,0.0014384498882876629,2.42220293658337,2.9483768145806524,3.0
29.0,0.0014384498882876629,2.9050786505108603,3.503497577390146,0.0
29.0,0.0014384498882876629,2.9050786505108603,1.9361822430436055,1.0
29.0,0.0014384498882876629,2.9050786505108603,14.74472439685935,2.0
29.0,0.0014384498882876629,2.9050786505108603,3.536147367479115,3.0
29.0,0.0014384498882876629,3.4842175435383975,4.201933644977364,0.0
29.0,0.0014384498882876629,3.4842175435383975,2.322167813774598,1.0
29.0,0.0014384498882876629,3.4842175435383975,17.68414339114084,2.0
29.0,0.0014384498882876629,3.4842175435383975,4.241092299563474,3.0
29.0,0.0014384498882876629,4.1788100602942215,5.03960569881295,0.0
29.0,0.0014384498882876629,4.1788100602942215,2.785101131210626,1.0
29.0,0.0014384498882876629,4.1788100602942215,21.209547161494704,2.0
29.0,0.0014384498882876629,4.1788100602942215,5.086570785719051,3.0
29.0,0.0014384498882876629,5.011872336272722,6.044270982209858,0.0
29.0,0.0014384498882876629,5.011872336272722,3.3403220323092726,1.0
29.0,0.0014384498882876629,5.011872336272722,25.437754085449537,2.0
29.0,0.0014384498882876629,5.011872336272722,6.100598744524746,3.0
29.0,0.00206913808111479,0.15848931924611134,0.19093341227438732,0.0
29.0,0.00206913808111479,0.15848931924611134,0.10563024607898135,1.0
29.0,0.00206913808111479,0.15848931924611134,0.6333538252702324,2.0
29.0,0.00206913808111479,0.15848931924611134,0.19291787119810572,3.0
29.0,0.00206913808111479,0.19008479046983878,0.22899674147448157,0.0
29.0,0.00206913808111479,0.19008479046983878,0.1266880524738786,1.0
29.0,0.00206913808111479,0.19008479046983878,0.7596154096845676,2.0
29.0,0.00206913808111479,0.19008479046983878,0.23137681011573275,3.0
29.0,0.00206913808111479,0.2279789435643566,0.2746481455564748,0.0
29.0,0.00206913808111479,0.2279789435643566,0.15194381567210932,1.0
29.0,0.00206913808111479,0.2279789435643566,0.9110477392065305,2.0
29.0,0.00206913808111479,0.2279789435643566,0.2775026902736083,3.0
29.0,0.00206913808111479,0.27342744561652343,0.32940033719220596,0.0
29.0,0.00206913808111479,0.27342744561652343,0.18223441492843254,1.0
29.0,0.00206913808111479,0.27342744561652343,1.092668701202354,2.0
29.0,0.00206913808111479,0.27342744561652343,0.3328239466633315,3.0
29.0,0.00206913808111479,0.3279362859020881,0.3950675942941249,0.0
29.0,0.00206913808111479,0.3279362859020881,0.21856356467954663,1.0
29.0,0.00206913808111479,0.3279362859020881,1.3104965186863613,2.0
29.0,0.00206913808111479,0.3279362859020881,0.3991737138235984,3.0
29.0,0.00206913808111479,0.3933116786018691,0.4738258782360471,0.0
29.0,0.00206913808111479,0.3933116786018691,0.2621350737959717,1.0
29.0,0.00206913808111479,0.3933116786018691,1.5717491711799523,2.0
29.0,0.00206913808111479,0.3933116786018691,0.4787505688973285,3.0
29.0,0.00206913808111479,0.4717199138213297,0.5682849368784594,0.0
29.0,0.00206913808111479,0.4717199138213297,0.3143927351970477,1.0
29.0,0.00206913808111479,0.4717199138213297,1.8850835709057683,2.0
29.0,0.00206913808111479,0.4717199138213297,0.574191384056926,3.0
29.0,0.00206913808111479,0.5657591401470917,0.681574781616446,0.0
29.0,0.00206913808111479,0.5657591401470917,0.37706816761809386,1.0
29.0,0.00206913808111479,0.5657591401470917,2.2608824197000263,2.0
29.0,0.00206913808111479,0.5657591401470917,0.6886587023480173,3.0
29.0,0.00206913808111479,0.6785454573393577,0.8174494039683813,0.0
29.0,0.00206913808111479,0.6785454573393577,0.4522381948226447,1.0
29.0,0.00206913808111479,0.6785454573393577,2.7115982519823083,2.0
29.0,0.00206913808111479,0.6785454573393577,0.8259455322524245,3.0
29.0,0.00206913808111479,0.8138161719423083,0.980411168475865,0.0
29.0,0.00206913808111479,0.8138161719423083,0.5423936635870811,1.0
29.0,0.00206913808111479,0.8138161719423083,3.2521660640490437,2.0
29.0,0.00206913808111479,0.8138161719423083,0.9906010334608304,3.0
29.0,0.00206913808111479,0.9760536373079002,1.1758600038191336,0.0
29.0,0.00206913808111479,0.9760536373079002,0.6505219808220488,1.0
29.0,0.00206913808111479,0.9760536373079002,3.900498202644976,2.0
29.0,0.00206913808111479,0.9760536373079002,1.1880812586001925,3.0
29.0,0.00206913808111479,1.1706337816171068,1.4102723357700848,0.0
29.0,0.00206913808111479,1.1706337816171068,0.7802061047947724,1.0
29.0,0.00206913808111479,1.1706337816171068,4.678077911524274,2.0
29.0,0.00206913808111479,1.1706337816171068,1.424929945919377,3.0
29.0,0.00206913808111479,1.404004245548316,1.6914156911355651,0.0
29.0,0.00206913808111479,1.404004245548316,0.9357432706421456,1.0
29.0,0.00206913808111479,1.404004245548316,5.6106712038608935,2.0
29.0,0.00206913808111479,1.404004245548316,1.708995353710116,3.0
29.0,0.00206913808111479,1.6838980323928916,2.0286060838436613,0.0
29.0,0.00206913808111479,1.6838980323928916,1.1222873842833925,1.0
29.0,0.00206913808111479,1.6838980323928916,6.729180649233082,2.0
